Index,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA,Temporada
1,2005-08-27,Alaves,Barcelona,0,0,D,0,0,D,5,17,0,10,17,19,3,7,0,1,0,0,7.0,3.75,1.5,7.0,3.7,1.45,5.4,3.5,1.5,6.0,3.4,1.5,6.5,3.75,1.45,2006
2,2005-08-27,Ath Bilbao,Sociedad,3,0,H,0,0,D,10,9,6,2,13,19,3,4,0,1,0,0,2.0,3.25,3.25,1.95,3.15,3.65,1.9,3.0,3.6,1.9,3.0,3.75,,,,2006
3,2005-08-27,Valencia,Betis,1,0,H,0,0,D,9,14,2,3,18,14,8,5,2,3,0,0,2.0,3.25,3.25,1.75,3.3,4.4,1.9,3.0,3.6,1.95,3.1,3.5,1.85,3.25,3.75,2006
4,2005-08-28,Ath Madrid,Zaragoza,0,0,D,0,0,D,16,9,5,2,16,22,8,4,2,7,0,0,1.72,3.4,4.0,1.65,3.4,4.9,1.7,3.1,4.4,1.7,3.2,4.5,1.65,3.4,4.5,2006
5,2005-08-28,Cadiz,Real Madrid,1,2,A,0,1,A,15,17,5,6,19,25,8,8,2,2,0,0,7.5,4.0,1.44,8.0,4.25,1.35,5.4,3.5,1.5,6.5,3.6,1.44,6.5,3.6,1.45,2006
6,2005-08-28,Celta,Malaga,2,0,H,1,0,H,9,10,5,4,19,25,4,11,1,2,0,0,2.1,3.25,3.0,2.1,3.1,3.3,2.1,2.9,3.2,2.15,3.1,3.0,2.0,3.2,3.25,2006
7,2005-08-28,Espanol,Getafe,0,2,A,0,0,D,8,16,3,9,23,25,4,2,2,3,0,0,1.61,3.4,5.0,1.65,3.5,4.75,1.7,3.1,4.4,1.66,3.3,4.5,1.6,3.3,5.0,2006
8,2005-08-28,Mallorca,La Coruna,0,1,A,0,1,A,10,12,3,3,19,19,8,4,2,4,0,0,2.7,3.2,2.3,2.65,3.1,2.5,2.3,3.0,2.7,2.37,3.1,2.62,2.5,3.1,2.5,2006
9,2005-08-28,Osasuna,Villarreal,2,1,H,1,0,H,8,10,4,3,20,9,2,4,5,2,0,0,2.7,3.2,2.3,2.7,3.15,2.4,2.5,3.0,2.5,2.75,3.2,2.25,2.9,3.0,2.25,2006
10,2005-08-28,Sevilla,Santander,1,0,H,1,0,H,18,5,5,3,22,27,9,3,2,3,0,0,1.66,3.4,4.5,1.65,3.5,4.7,1.6,3.3,4.8,1.57,3.3,5.5,1.6,3.3,5.0,2006
11,2005-09-10,Betis,Osasuna,1,0,H,0,0,D,15,12,4,3,21,29,4,1,2,6,0,0,1.66,3.4,4.5,1.65,3.35,5.0,1.75,3.2,4.0,1.61,3.3,5.0,1.65,3.3,4.6,2006
12,2005-09-10,La Coruna,Ath Madrid,1,0,H,0,0,D,11,13,5,7,16,22,4,5,2,2,0,0,2.0,3.25,3.25,2.15,3.1,3.2,2.0,3.1,3.2,2.0,3.1,3.3,1.9,3.2,3.6,2006
13,2005-09-10,Real Madrid,Celta,2,3,A,2,2,D,26,14,5,5,20,18,6,4,3,1,0,0,1.25,5.0,9.0,1.2,5.5,11.5,1.25,4.5,9.0,1.2,5.0,11.0,1.25,4.5,10.0,2006
14,2005-09-11,Barcelona,Mallorca,2,0,H,2,0,H,23,6,7,0,13,20,7,3,2,2,0,2,1.2,5.0,12.0,1.2,5.5,11.5,1.25,4.5,9.0,1.2,5.0,11.0,1.18,5.5,11.0,2006
15,2005-09-11,Getafe,Ath Bilbao,1,1,D,1,1,D,11,6,4,2,14,19,6,3,2,1,1,0,2.3,3.2,2.7,2.4,3.15,2.7,2.3,3.0,2.7,2.25,3.1,2.8,2.3,3.1,2.75,2006
16,2005-09-11,Malaga,Espanol,1,2,A,0,0,D,16,6,6,5,16,18,4,4,2,4,0,0,2.1,3.25,3.0,2.2,03.05,3.15,2.2,3.0,2.9,2.0,3.2,3.2,2.2,3.1,2.9,2006
17,2005-09-11,Santander,Cadiz,0,1,A,0,0,D,8,8,2,5,17,12,4,9,1,1,0,0,1.9,3.25,3.5,1.9,3.1,3.95,1.9,3.1,3.5,1.83,3.2,3.75,1.84,3.2,3.75,2006
18,2005-09-11,Sociedad,Alaves,2,1,H,2,0,H,10,8,5,3,27,14,4,8,0,0,0,0,1.9,3.25,3.5,1.8,3.25,4.2,1.8,3.1,3.8,1.9,3.1,3.6,1.84,3.25,3.75,2006
19,2005-09-11,Villarreal,Sevilla,1,1,D,0,1,A,12,22,3,9,11,15,7,6,3,1,1,0,1.8,3.25,4.0,1.85,3.2,4.0,1.8,3.1,3.8,1.9,3.2,3.5,1.84,3.25,3.75,2006
20,2005-09-11,Zaragoza,Valencia,2,2,D,2,1,H,14,6,7,2,25,20,2,2,1,3,0,0,2.5,3.2,2.5,2.5,3.15,2.6,2.5,3.0,2.5,2.4,3.1,2.6,2.6,3.0,2.5,2006
21,2005-09-17,Mallorca,Sociedad,5,2,H,1,2,A,21,7,11,4,11,19,11,6,0,3,0,0,2.3,3.2,3.0,2.3,3.1,2.9,2.2,3.0,2.9,2.15,3.1,3.0,2.25,3.2,2.8,2006
22,2005-09-17,Valencia,La Coruna,2,2,D,0,1,A,17,11,6,5,22,13,7,3,3,3,1,1,2.0,3.2,3.75,1.8,3.25,4.15,1.9,3.1,3.5,1.83,3.2,3.75,1.8,3.25,4.0,2006
